"5666v";"Actor in accusando hominem ...."
"5666v";"Actus apostolorum. In den werchen der zwolff botten"
"5666v";"Ad calculum nim tanzapfen in maio vel september"
"1804";"Ad cogniosciere lisegni della orina"
"1804";"Ad faciendum solem Arabiae prenes de myeonce de une pierre"
"5666v";"Ad ficum corale. Res probata."
"5666v";"Ad honorem indiuidue trinitatis et ad rei publice vtilitatem."
"5666v";"Ad honorem sancte et indiuidue trinitatis virginisque gloriose."
"5666v";"Ad instructionem multorum quibus deesse copia librorum hic libellus datur nomen est ei Ymago mundi datur eo quod dispositio tocius orbis"
"1804";"Ad ogni cigno del permesso"
"1804";"Ad ogni cigno del permesso"
"5666v";"Ad spiritum sanctum."
"5666v";"Ad te scorgendolo tu quelle cose sono revelate"
"5666v";"Additio est numeri ad numerum vel numerorum ad numeros aggregatio."
"1804";"Adesso il tempo che in falso liquore"
"1804";"Adieu Florens la yolie. LaRue"
"1804";"Adieu Florens la yolie. LaRue"
"1804";"Adieu Florens la yolie. LaRue"
"1804";"Adieu Florens la yolie. LaRue"
"1804";"Adios felicia mia"
"1804";"Adorable objet, dont l'empire est cruel et d-elicieux"
"1804";"Adorable princesse, honneur des souverains"
"5666v";"Adoro te y ruego te y humillo me a ty, uerdadera cruz sancta mucho amada"
"5666v";"Advegna che io non dubitassi che questa epistola molti messi"
"5666v";"Aenbeden wi Cristum den coninc den here die heerscappie heeft over die lude"
"5666v";"Aenbeden wi den coninc der apostolen die mit sonderlingher minnen hevet ghemint"
"5666v";"Aetates huius mundi sunt sex, prima aetas incepit."
"5666v";"Affin que vous  sachies certainement quel merite on a de cest oroison"
"1804";"After making a serious reflexion upon this important advice"
"1804";"Agr-eable fille de l'onde"
"1804";"Aide diex sainte trinit-e"
"1804";"Aie anime mi respira, dira hiems"
"1804";"Aigremoyne Ambruise id est salvia silvestris"
"1804";"Aimable Filis quoi qu'on die"
"1804";"Aimable vainqueur"
"5666v";"Aio. >Orestes<. O, filz d'Agamenon, la sont les champs de Grece dont tes grans desirs ont esté ostez"
"1804";"Al celos ojos"
"1804";"Al der blijscapen een verghanc"
"1804";"Al fin ricader-a, al finir cader-a"
"1804";"Al nome de dio e della vergine Maria io mi commenzo questa via"
"5666v";"Al nome di dio. Fratelli carissimi. Considerando noi, gastaldi, sindico"
"5666v";"Al nome sia dell’altissimo idio e dela sua santissima madre uergine Maria"
"1804";"Alder moeghenste naeme Jesu. O alder wijsste naeme Jesu"
"1804";"Aldergnedigste mildeste barmehartigeste vader van hemmel ... so beghere ek"
"1804";"Aleph - Doctrina, Beth - Domus"
"5666v";"Alessandro nel volume che conpuose del tracto del mare"
"5666v";"Alessandro volle essere dipinto da Adpelle"
"1804";"Alexandre, tes lettres m'ont press-e tant de fois"
"5666v";"Aliqua tibi in Latinum uerti olim."
"5666v";"Alium knoblauch; cepae lauch"
"5666v";"Alixandre, biaux filz, glorieux empereres, le tres precieux Dieu te vueille confermer et envoier congnoissance et sentir verité"
"5666v";"Alixandre, se tu puez muer la terre, l'yaue, l'air et la disposicion des citez de Perse, adonc acompli ton propos hardiement"
"1804";"Alla fin il Cardinal mor-o Portocarrero"
"1804";"Alla piccola operetta"
"1804";"Alla piccola operetta"
"1804";"Alle de doechden de op eetrike gheschien moghen secht Ambrosius"
"1804";"Alle die hem hebben daer toe ghegheuen"
"5666v";"Alle hoechtyt dagheplach die richter dem volc quyt te laten enen vanden ghevangenen"
"5666v";"Alle loenge du Peire, du Fil et du Saint Esperit qui sont trois persones et une seul deiteit, permanablement regnans en Terniteit, sens fin et sens comencement, au congiet dele tresbin euwireuse Virgene Marie"
"1804";"Alle menschen sphiegeln hem hier an want"
"5666v";"Alleluya die gheest des heren hevet vervullet den ommeganc der aerden"
"5666v";"Alleluya, alleluya, alleluya"
"1804";"Aller dat gescreuen is is tot vnser leir gescreuen ... Hijr om van geistliker wanderinghen"
"1804";"Aller erste alde wyset dich mynnede sele"
"5666v";"Aller hande weyßheit || Hait got an dry geleyt."
"1804";"Aller liebst wir die da doyn willen dat werdige gedechtneisse des heilgen Materns des eirtz busschoffs van Trier"
"1804";"Aller lieffste broeder wyr haen gehoirt dat do vnser here hadde yngeweicht dye sneede broitz"
"1804";"Allexander der pais besas de vunfde stat"
"5666v";"Allon ehm som thenna Cróneke lásande eller hórande wa/erdha,
ónskar jach Olavus Petri, predikere i Stokholm,
sanhetheness (!) kuunskaff. Guudh som all tingh haffuer
skapath mennyskyone till godho och gagn"
"5666v";"Allre suetste here Ihesu Christe myn ziele begheert dy te dancken ende te loven"
"5666v";"Almachtich ewich god die die aernsticheit der martelaren in dijns leviten Stevens bloede gheheilicht hebste wi bidden"
"5666v";"Almachtige ende ontfermhertige god ende hemelsche vader"
"5666v";"Almueghende god eewich uadere, ic dancke hu met al mijnder herten dat ghi mij aerme sondare veruult hebt"
"1804";"Alors que d'un discours hardy"
"1804";"Alre heilegen dach was geordineert om IV saken"
"1804";"Alre leifsten wir de da doyn willen dat wirdige gedeichtenis des hilgen Maternus"
"5666v";"Alre liefste broeders, gi hebt gehoert, dat die alre helichste connynge den heren gesocht heben vlitelicke …"
"1804";"Alre selen herdencken so viert men op desen dach"
"5666v";"Als Pieter sprac so viel die heilighe gheest op alle die gheen die dat woort hoorden"
"1804";"Als dat hegetjijde Sente Mathias an staende was, Die priesterschafft van Medenburch begerden"
"5666v";"Als dat hoichtijt van sante Mathias anstaende was, die priesterschap van Medenboirch begerden dat hoichtijt myt groitter eren to begaen …"
"1804";"Als dat ordel ys tzo ghan so scheidet sich die scharen"
"5666v";"Als de tijt anstont dat unse leve here der werlt verlosinghe doen wolde overmits den doet synes eghen lichams"
"1804";"Als der priester an den elter kumpt e he die myssa an heue"
"1804";"Als der pryester an den altare komete ee dan he de myße anhebet"
"1804";"Als dermynsche by geuaille of by euenteuren des nachtes wackerich wirt"
"1804";"Als du kumps in die kirche ind myssa horen woult"
"5666v";"Als ghi dan uwen god ende uwen gesontmaker ontfanghen hebt soe verbilde dy van sijnre groter mynnen"
"5666v";"Als ghi den wijn of die abluci ontfangheste so ghedencke des heren woert dat hi seiden: Neemt ende drinct"
"5666v";"Als ghi honze heere honfane hebt: [O] alre soetste troester Jhesu Criste, [di]e di ghewaerdich heues, [he]den te comen tot my (G)"
"1804";"Als gy den berch van caluarien visentieren wilt soe sult"
"1804";"Als ic peyns on des tyts onlancheit / End ic beuoele der natueren crancheit"
"1804";"Als lieb bi lieben yst so enweyß he neyt"
