"21"$"Cod. Guelf. 7.4 Aug. 2°"$""$"https://diglib.hab.de/mss/7-4-aug-2f/start.htm"$"https://diglib.hab.de/mss/7-4-aug-2f/thumbs/00001.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"28.04.2017"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"
"22"$"Cod. Guelf. 7.5 Aug. 2°"$""$"https://diglib.hab.de/mss/7-5-aug-2f/start.htm"$"https://diglib.hab.de/mss/7-5-aug-2f/thumbs/00001.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"05.11.2012"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"
"23"$"Cod. Guelf. 8.7 Aug. 2°"$""$"https://diglib.hab.de/mss/8-7-aug-2f/start.htm"$"https://diglib.hab.de/mss/8-7-aug-2f/thumbs/00001.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"28.04.2017"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"
"24"$"Cod. Guelf. 10.5 Aug. 2°"$""$"https://diglib.hab.de/mss/10-5-aug-2f/start.htm"$"https://diglib.hab.de/mss/10-5-aug-2f/thumbs/00001.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"28.04.2017"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"
"25"$"Cod. Guelf. 10.9 Aug. 2°"$""$"https://diglib.hab.de/mss/10-9-aug-2f/start.htm"$"https://diglib.hab.de/mss/10-9-aug-2f/thumbs/00001.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2004"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"
"26"$"Cod. Guelf. 11.2 Aug. 2°"$""$"https://diglib.hab.de/mss/11-2-aug-2f/start.htm"$"https://diglib.hab.de/mss/11-2-aug-2f/thumbs/00001.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"01.04.2011"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"
"27"$"Cod. Guelf. 11.12 Aug. 2°"$""$"https://diglib.hab.de/mss/11-12-aug-2f/start.htm"$"https://diglib.hab.de/mss/11-12-aug-2f/thumbs/00001.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"14.09.2012"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"
"28"$"Cod. Guelf. 11.14 Aug. 2°"$""$"https://diglib.hab.de/mss/11-14-aug-2f/start.htm"$"https://diglib.hab.de/mss/11-14-aug-2f/thumbs/00001.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"01.04.2011"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"
"29"$"Cod. Guelf. 11.15 Aug. 2°"$""$"https://diglib.hab.de/mss/11-15-aug-2f/start.htm"$"https://diglib.hab.de/mss/11-15-aug-2f/thumbs/00001.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"28.04.2017"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"
"30"$"Cod. Guelf. 11.20 Aug. 2°"$""$"https://diglib.hab.de/mss/11-20-aug-2f/start.htm"$"https://diglib.hab.de/mss/11-20-aug-2f/thumbs/00001.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"01.04.2011"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"
"31"$"Cod. Guelf. 11.22 Aug. 2°"$""$"https://diglib.hab.de/mss/11-22-aug-2f/start.htm"$"https://diglib.hab.de/mss/11-22-aug-2f/thumbs/00001.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"22.02.2018"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"
"32"$"Cod. Guelf. 11.26 Aug. 2°"$""$"https://diglib.hab.de/mss/11-26-aug-2f/start.htm"$"https://diglib.hab.de/mss/11-26-aug-2f/thumbs/00001.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"20.10.2016"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"
"33"$"Cod. Guelf. 12.4 Aug. 2°"$"https://iiif.hab.de/object/mss_12-4-aug-2f/manifest.json"$"https://diglib.hab.de/mss/12-4-aug-2f/start.htm"$"https://diglib.hab.de/mss/12-4-aug-2f/thumbs/00001.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"02.03.2020"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"$"Herzog August Bibliothek Wolfenbüttel"$"http://d-nb.info/gnd/8989-8"$"Wolfenbüttel"$"http://d-nb.info/gnd/4066832-0"
