hida_5705;count;https://normdaten.staatsbibliothek-berlin.de/vocabulary/musicNotation/;https://normdaten.staatsbibliothek-berlin.de/vocabulary/musicStaff/;https://normdaten.staatsbibliothek-berlin.de/vocabulary/musicColour/;exists
In den kleiner geschriebenen Gesangsteilen über jeder Textzeile ein Notensystem aus vier Notenlinien, f-Linie rot, c-Schlüssel. Diastematische deutsche Neumen, Epoche III (vgl. Stäblein, 194f. mit Abb. 67).;1;deutsche Neumen auf Linien;Vierliniensystem;Rot;Notation vorhanden
Jeweils die erste Strophe der Hymnen auf Bl. 13v und 26r, die Antiphonen und Versikel zu den Vesperpsalmen (100r–136r) und die Gesangsteile des Officium defunctorum (142v–157r) sind jeweils mit gotischer Choralnotation auf einem Fünfliniensystem ausgestattet.;1;deutsche Neumen auf Linien;Fünfliniensystem;;Notation vorhanden
Lektionstöne;7;;;;
Lektionszeichen;17;;;;
Liederbuch-Notation;1;;;;Notation vorhanden
Liniennotation;3;;;;Notation vorhanden
meist 10 fünflinige Notenzeilen mit Hufnagelnotation.;1;deutsche Neumen auf Linien;Fünfliniensystem;;Notation vorhanden
Meist 10 Notensysteme zu 4 Linien (Hufnagelnotation) mit je einer Textzeile.;1;deutsche Neumen auf Linien;Vierliniensystem;;Notation vorhanden
Mensuralnotation;41;Mensuralnotation;;;Notation vorhanden
Mensuralnotation (1recto);1;Mensuralnotation;;;Notation vorhanden
Mensuralnotation, 5-Linien-System;1;Mensuralnotation;Fünfliniensystem;;Notation vorhanden
Mensuralnotation, gotische;1;Mensuralnotation;;;Notation vorhanden
Mensuralnotation, schwarze, 4-Linien-System;3;schwarze Mensuralnotation;Vierliniensystem;;Notation vorhanden
Mensuralnotation, weiße;1;weiße Mensuralnotation;;;Notation vorhanden
Mensuralnotation, weiße (1recto-1verso)& 5-Liniensystem (1recto-1verso);1;weiße Mensuralnotation;Fünfliniensystem;;Notation vorhanden
Mensuralnotation, weiße, 5-Linien-System;1;weiße Mensuralnotation;Fünfliniensystem;;Notation vorhanden
Metzer-Sankt Galler Mischnotation;2;Neumennotation;;;Notation vorhanden
Metzer Neumen;28;lothringische Neumen;;;Notation vorhanden
Metzer Neumen (liniert);1;lothringische Neumen auf Linien;;;Notation vorhanden
Metzer Neumen (unliniert);3;lothringische Neumen;;;Notation vorhanden
Metzer Neumen (zweite Epoche);1;lothringische Neumen auf Linien;;;Notation vorhanden
Metzer Neumen, unliniert;1;lothringische Neumen;;;Notation vorhanden
Mischform aus Metzer und Hufnagelnotation mit f- und c'-Schlüssel: 6r–22r 4–6 fünflinige Notensysteme (jeweils die ersten beiden Zeilen jedes Hymnus mit Noten versehen, der fortlaufende Text ist frei von Notenlinien), 22r–26v durchgehende Notierung mit 8 fünflinigen Notensystemen.;1;Neumennotation auf Linien;Fünfliniensystem;;Notation vorhanden
Modalnotation;1;Modalnotation;;;Notation vorhanden
Musiknotation auf Notenlinien;1;;;;Notation vorhanden
Neumen;962;Neumennotation;;;Notation vorhanden
Neumen (liniert);36;Neumennotation auf Linien;;;Notation vorhanden
Neumen (liniiert);2;Neumennotation auf Linien;;;Notation vorhanden
Neumen (unliniert);270;Linienlose Neumennotation;;;Notation vorhanden
Neumen (unliniiert);2;Linienlose Neumennotation;;;Notation vorhanden
Neumen (vierlinig);9;Neumennotation auf Linien;Vierliniensystem;;Notation vorhanden
Neumen, 4-Linien-System;1;Neumennotation auf Linien;Vierliniensystem;;Notation vorhanden
Neumen, 5-Linien-System, c- und f-Schlüssel;1;Neumennotation auf Linien;Fünfliniensystem;;Notation vorhanden
Neumen, adiastematische;6;Linienlose Neumennotation;;;Notation vorhanden
Neumen, adiastematische St. Galler;1;St. Galler Neumen;;;Notation vorhanden
Neumen, beneventanische;5;beneventanische Neumen;;;Notation vorhanden
Neumen, deutsche;46;deutsche Neumen;;;Notation vorhanden
Neumen, deutsche (liniert);1;deutsche Neumen auf Linien ;;;Notation vorhanden
Neumen, deutsche, 4-Linien-System;9;deutsche Neumen auf Linien ;Vierliniensystem;;Notation vorhanden
Neumen, deutsche, 5-Linien-System;2;Neumennotation auf Linien;Fünfliniensystem;;Notation vorhanden
Neumen, deutsche, Fünf-Linien-Schema;1;Neumennotation auf Linien;Fünfliniensystem;;Notation vorhanden
Neumen, deutsche, unliniert;10;deutsche Neumen;;;Notation vorhanden
Neumen, französische;2;französische Neumen;;;Notation vorhanden
Neumen, französische (erste Epoche);1;französische Neumen;;;Notation vorhanden
Neumen, französische, unliniert;2;französische Neumen;;;Notation vorhanden
Neumen, gotische;19;deutsche Neumen;;;Notation vorhanden
Neumen, gotische (liniert);1;deutsche Neumen auf Linien;;;Notation vorhanden
Neumen, gotische, Vier-Linien-Schema;2;deutsche Neumen auf Linien;Vierliniensystem;;Notation vorhanden
Neumen, italienische;4;Neumennotation;;;Notation vorhanden
Neumen, lothringische;5;lothringische Neumen;;;Notation vorhanden
Neumen, lothringische, unliniert;1;lothringische Neumen;;;Notation vorhanden
Neumen, Metzer, 4-Linien-System;3;lothringische Neumen auf Linien;Vierliniensystem;;Notation vorhanden
Neumen, Metzer, 5-Linien-System;1;lothringische Neumen auf Linien;Fünfliniensystem;;Notation vorhanden
Neumen, Metzer, Vier-Linien-System;1;lothringische Neumen auf Linien;Vierliniensystem;;Notation vorhanden
Neumen, nordfranzösisch-aquitanische, unliniert;1;Linienlose Neumennotation;;;Notation vorhanden
Neumen, oberitalienische;2;"nonantolanische Neumen; Bologneser Neumen; Linienlose Neumennotation";;;Notation vorhanden
Neumen, Sankt Galler;123;St. Galler Neumen;;;Notation vorhanden
Neumen, Sankt Galler (liniert);1;St. Galler Neumen auf Linien;;;Notation vorhanden
Neumen, Sankt Galler (unliniert);38;St. Galler Neumen;;;Notation vorhanden
Neumen, St. Galler;1;St. Galler Neumen;;;Notation vorhanden
Neumen, unliniert;3;Linienlose Neumennotation;;;Notation vorhanden
Neumen, zentralitalienische, unliniert;1;Linienlose Neumennotation;;;Notation vorhanden
neumiert;10;Neumennotation;;;Notation vorhanden
Neumierung;2;Neumennotation;;;Notation vorhanden
neuzeitliche Notation auf fünf Linien;1;Moderne Standardnotation;Fünfliniensystem;;Notation vorhanden
Notation;343;;;;Notation vorhanden
Notation (liniert);9;;;;Notation vorhanden
Notation auf 5-Liniensystem;4;;Fünfliniensystem;;Notation vorhanden
Notation, 4-Liniensystem;2;;Vierliniensystem;;Notation vorhanden
Notation, 4-liniges System;1;;Vierliniensystem;;Notation vorhanden
Notation, deutsche;44;deutsche Neumen auf Linien;;;Notation vorhanden
Notation, deutsche, 4-Linien-System;1;deutsche Neumen auf Linien;Vierliniensystem;;Notation vorhanden
Notation, ekphonetische;1;ekphonetische Notation;;;Notation vorhanden
Notation, gotische;87;deutsche Neumen auf Linien;;;Notation vorhanden
Notation, Metzer;41;lothringische Neumen;;;Notation vorhanden
Notation, moderne;1;Moderne Standardnotation;;;Notation vorhanden
Notation, musikalische;26;;;;Notation vorhanden
"Notation, Neumen = ""vorhanden""";1;Neumennotation;;;Notation vorhanden
Notation, orthochronische;28;;;;Notation vorhanden
Notation, rhombische;1;böhmische Neumen auf Linien;;;Notation vorhanden
Notation, vierzeilig;10;;Vierliniensystem;;Notation vorhanden
Noten;207;;;;Notation vorhanden
Noten, tironische;18;;;;Notation vorhanden
Notenlinie;1;;;;
Notenlinien;40;;;;
Notensysteme;1;;;;
notiert;1;;;;Notation vorhanden
Oberzeilennotation;3;;;;Notation vorhanden
ok;1;;;;
Positiones (Lektionszeichen) - Punctus flexus, Punctus elevatus, Punctus versus, Punctus interrogativus - im Text zum Lesevortrag im Sprechgesang, vgl. Mahrenholz 27–29.;2;Linienlose Neumennotation;;;Notation vorhanden
Positiones (Lektionszeichen) im Text zum Lesevortrag im Sprechgesang, vgl. Mahrenholz 27–29.;1;Linienlose Neumennotation;;;Notation vorhanden
Quadratnotation;368;Quadratnotation;;;Notation vorhanden
Quadratnotation (liniert);3;Quadratnotation;;;Notation vorhanden
Quadratnotation auf 5 Linien mit c-Schlüsseln;1;Quadratnotation;Fünfliniensystem;;Notation vorhanden
Quadratnotation, 3-Linien-System;1;Quadratnotation;Dreiliniensystem;;Notation vorhanden
Quadratnotation, 4-Linien-System;16;Quadratnotation;Vierliniensystem;;Notation vorhanden
Quadratnotation, 5-Linien-System;1;Quadratnotation;Fünfliniensystem;;Notation vorhanden
Quadratnotation, Drei-Linien-System;1;Quadratnotation;Dreiliniensystem;;Notation vorhanden
Quadratnotation, römische;123;Quadratnotation;;;Notation vorhanden
Quadratnote;1;Quadratnotation;;;Notation vorhanden
Quadratnoten;13;Quadratnotation;;;Notation vorhanden
Quadratnoten auf rotem 4-Linienschema;2;Quadratnotation;Vierliniensystem;Rot;Notation vorhanden
Reformchoral;56;Quadratnotation;;;
Solmisationssilben;1;;;;
St. Galler-Metzer Mischnotation: Neumen auf Liniensystem;1;Neumennotation auf Linien;;;Notation vorhanden
St. Galler-Metzer Neumen;1;Neumennotation;;;Notation vorhanden
St. Galler Neumen;9;St. Galler Neumen;;;Notation vorhanden
St.Galler Neumen;2;St. Galler Neumen;;;Notation vorhanden
teilneumiert;1;Neumennotation;;;Notation vorhanden
