"23"$"25.E.71."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1725645203/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5152061"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1725645203/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2020"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"24"$"26.D.I."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1726966135/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5167428"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1726966135/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2022"$"2022"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"25"$"27.D.II."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN172696714X/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5155616"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN172696714X/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2022"$"2022"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"26"$"28.D.III."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1794693238/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5210445"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1794693238/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2021"$"2022"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"27"$"29.D.IV."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1726967395/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5156724"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1726967395/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2020"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"28"$"30.D.V."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1724482270/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5151241"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1724482270/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2020"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"29"$"31.D.VI."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN177630246X/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5202904"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN177630246X/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2021"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"30"$"32.D.VII."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1734912820/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5170027"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1734912820/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2020"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"31"$"33.D.VIII."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1735920517/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5176052"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1735920517/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2020"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"32"$"34.D.IX."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1776240391/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5202891"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1776240391/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2021"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
