"22"$"Cbm Cat. 121 w"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00133748/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00133748-9"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00133748_00003/full/280,/0/default.jpg"$"Komplett"$"Reproduktion"$"Graustufen"$"Einzelseite"$"2020"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"23"$"Cbm Cat. 121 x"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00133749/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00133749-9"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00133749_00003/full/280,/0/default.jpg"$"Komplett"$"Reproduktion"$"Graustufen"$"Einzelseite"$"2020"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"24"$"Cbm Cat. 121 y"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00133750/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00133750-1"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00133750_00003/full/280,/0/default.jpg"$"Komplett"$"Reproduktion"$"Graustufen"$"Einzelseite"$"2020"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"25"$"Cbm Cat. 121 z"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00133751/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00133751-7"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00133751_00003/full/280,/0/default.jpg"$"Komplett"$"Reproduktion"$"Graustufen"$"Einzelseite"$"2020"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"26"$"Cbm Cat. 122 c"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00133752/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00133752-2"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00133752_00003/full/280,/0/default.jpg"$"Komplett"$"Reproduktion"$"Graustufen"$"Einzelseite"$"2020"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"27"$"Cbm Cat. 124 b"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00086654/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00086654-2"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00086654_00003/full/280,/0/default.jpg"$"Komplett"$"Reproduktion"$"Graustufen"$"Einzelseite"$"2013"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"28"$"Cbm Cat. 124 d"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00108614/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00108614-7"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00108614_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2017"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"29"$"Cbm Cat. 124 g"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00108613/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00108613-2"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00108613_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2017"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"30"$"Cbm Cat. 13"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00106444/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00106444-2"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00106444_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2016"$"2022"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"31"$"Cbm Cat. 130"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00107553/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00107553-2"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00107553_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2016"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
