"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5966(16"$"Codex germanicus monacensis  5966(16"$"Cod.germ.mon. 5966(16"$"Cod. germ. monac. 5966(16"$"Cgm 5966-16"$"Cgm 5966, 16"$"Cgm 5966/16"$"Cgm 5966(XVI"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5966(17"$"Codex germanicus monacensis  5966(17"$"Cod.germ.mon. 5966(17"$"Cod. germ. monac. 5966(17"$"Cgm 5966-17"$"Cgm 5966, 17"$"Cgm 5966/17"$"Cgm 5966(XVII"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5966(2"$"Codex germanicus monacensis  5966(2"$"Cod.germ.mon. 5966(2"$"Cod. germ. monac. 5966(2"$"Cgm 5966-2"$"Cgm 5966, 2"$"Cgm 5966/2"$"Cgm 5966(II"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5966(3"$"Codex germanicus monacensis  5966(3"$"Cod.germ.mon. 5966(3"$"Cod. germ. monac. 5966(3"$"Cgm 5966-3"$"Cgm 5966, 3"$"Cgm 5966/3"$"Cgm 5966(III"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5966(4"$"Codex germanicus monacensis  5966(4"$"Cod.germ.mon. 5966(4"$"Cod. germ. monac. 5966(4"$"Cgm 5966-4"$"Cgm 5966, 4"$"Cgm 5966/4"$"Cgm 5966(IV"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5966(5"$"Codex germanicus monacensis  5966(5"$"Cod.germ.mon. 5966(5"$"Cod. germ. monac. 5966(5"$"Cgm 5966-5"$"Cgm 5966, 5"$"Cgm 5966/5"$"Cgm 5966(V"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5966(6"$"Codex germanicus monacensis  5966(6"$"Cod.germ.mon. 5966(6"$"Cod. germ. monac. 5966(6"$"Cgm 5966-6"$"Cgm 5966, 6"$"Cgm 5966/6"$"Cgm 5966(VI"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5966(7"$"Codex germanicus monacensis  5966(7"$"Cod.germ.mon. 5966(7"$"Cod. germ. monac. 5966(7"$"Cgm 5966-7"$"Cgm 5966, 7"$"Cgm 5966/7"$"Cgm 5966(VII"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5966(8"$"Codex germanicus monacensis  5966(8"$"Cod.germ.mon. 5966(8"$"Cod. germ. monac. 5966(8"$"Cgm 5966-8"$"Cgm 5966, 8"$"Cgm 5966/8"$"Cgm 5966(VIII"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5966(9"$"Codex germanicus monacensis  5966(9"$"Cod.germ.mon. 5966(9"$"Cod. germ. monac. 5966(9"$"Cgm 5966-9"$"Cgm 5966, 9"$"Cgm 5966/9"$"Cgm 5966(IX"
